Species Name,2014,2013,2012
Sturgeon,68778575,55265792,53827474
Bull Trout,52178312,32135507,37697010
Tortoise,33677623,NA,NA
Steelhead ,52178312 + 48199036 + 31683743 + 15808309,55059133 + 54644813 + 37666232 + 19941552,67559317 + 67401574 + 41683568 + 21176753 + 20190094
Sea lion,30472348,NA,22254726 + 17960107
Woodpecker,28091150,34793973,37900480
Flycatcher,23157345,22695784,16841162
Indiana Bat,15192756,14182106,NA
Chub,13409098,NA,NA
Chinook Salmon,49199036 + 42535708 + 35442077 + 21124534 + 17631540,47614774 + 40195924 + 34696578 + 26897521,60832177 + 49047500 + 35707536 + 30213869 + 30180634
Sockeye Salmon,22780787,24822119,25098251
Coho Salmon,14539618,NA,17596555
Gnatcatcher,NA,34100889,NA
Bowhead Whale,NA,25859765,NA
Owl,NA,17662374,20465308
Delta Smelt,NA,15062686,17263815
Chum Salmon,NA,15037823,NA